scenario_type,total_trials,adversarial_trials,benign_trials,detection_rate_pct,false_positive_rate_pct,benign_legitimate_access_rate_pct,mean_first_detection_time_sec,mean_actionable_detection_time_sec,mean_time_to_contain_sec,containment_rate_pct,mean_initial_risk,mean_final_risk,mean_risk_reduction,risk_reduction_pct,mean_accessible_assets,mean_files_compromised,file_protection_rate_pct,mean_lateral_transitions_successful,mean_sensitive_assets_reached,mean_internal_assets_reached,Scenario
BASELINE,50,40,10,0.0,0.0,100.0,0.0,0.0,0.0,0.0,43.96,52.968,-9.0,-20.5,10.0,5.0,0.0,9.0,4.0,3.0,BASELINE
PROTECTED,50,40,10,100.0,0.0,100.0,0.6,0.6,0.6,100.0,43.96,16.0,28.0,63.7,0.0,0.0,100.0,0.0,0.0,0.0,PROTECTED
